Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59227936,"Belladonna (Belladonna, #1)",Adalyn  Grace,"Grace, Adalyn",,"=""0316158232""","=""9780316158237""",0,3.97,"Little, Brown and Company",Hardcover,409,2022,2022,,2023/11/12,to-read,to-read (#32),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,Victoria E. Schwab,"Schwab, Victoria E.",,"=""0765387565""","=""9780765387561""",0,4.18,Tor Books,Hardcover,448,2020,2020,,2023/11/12,to-read,to-read (#31),to-read,,,,0,0
50376123,Heiress of Delusion (Kingdom of Fairytales: Alice in Wonderland #2),J.A. Armitage,"Armitage, J.A.",Zara Quentin,"=""198970042X""","=""9781989700426""",0,4.53, Enchanted Quill Press,Kindle Edition,134,2020,,,2023/11/06,to-read,to-read (#30),to-read,,,,0,0
50375970,Queen of Song (Kingdom of Fairytales: Cinderella #1),J.A. Armitage,"Armitage, J.A.",Margo Ryerkerk,"=""1989700373""","=""9781989700372""",0,4.56,Enchanted Quill Press ,Kindle Edition,132,2020,,,2023/11/06,to-read,to-read (#29),to-read,,,,0,0
48980716,Queen of Mermaids  (Kingdom of Fairytales: Little Mermaid #1),J.A. Armitage,"Armitage, J.A.",Audrey Rich,"=""1989700128""","=""9781989700129""",0,4.13,Enchanted Quill Press,Kindle Edition,126,2020,,,2023/11/06,to-read,to-read (#28),to-read,,,,0,0
48836240,"Queen of Dragons (Kingdom of Fairytales: Sleeping Beauty, #1)",J.A. Armitage,"Armitage, J.A.",,"=""1989700012""","=""9781989700013""",0,4.12,Enchanted Quill Press,Kindle Edition,136,2020,,,2023/11/06,to-read,to-read (#27),to-read,,,,0,0
52609088,Kingdom of Fairytales: After the happily ever afters - a Kingdom of Fairytales Prequel,J.A. Armitage,"Armitage, J.A.","Audrey Rich, B. Kristin McMichael, Emma Savant, Jennifer Ellision, Scarlett Kol, R. Castro, Margo Ryerkerk","=""1989700020""","=""9781989700020""",0,3.80,Enchanted Quill Press,Kindle Edition,109,2019,,,2023/11/06,to-read,to-read (#26),to-read,,,,0,0
58568162,The Fleeing Felon (Daniel Mendoza Thrillers #2),Daniel  Maldonado,"Maldonado, Daniel",,"=""""","=""""",0,3.99,Next Chapter,Kindle Edition,310,2021,,,2023/07/23,to-read,to-read (#25),to-read,,,,0,0
55504080,"May It Please The Court (Daniel Mendoza Thrillers, #1)",Daniel  Maldonado,"Maldonado, Daniel",,"=""""","=""""",0,3.84,Next Chapter,Kindle Edition,378,2020,,,2023/07/23,to-read,to-read (#24),to-read,,,,0,0
177828341,Dance of Devils and Daylight (Legion of Thieves),Indiana Rose,"Rose, Indiana",,"=""1991199120""","=""9781991199126""",0,4.12,Indiana Rose,Paperback,611,2023,,2023/07/21,2023/07/21,,,read,,,,1,0
60853997,Scars of Salt and Silver,Indiana Rose,"Rose, Indiana",,"=""""","=""""",0,3.75,Amazon KDP,Kindle Edition,372,2022,,,2023/01/15,,,read,,,,1,0
53103218,Carnivorous Cupid,Stephanie       Rose,"Rose, Stephanie",,"=""""","=""""",0,3.71,,Paperback,,2020,,,2023/03/27,,,read,,,,1,0
117562172,"The Sea Witch: A Little Mermaid Retelling (Beloved Villains, #1)",Rebecca F. Kenney,"Kenney, Rebecca F.",,"=""""","=""""",0,4.09,,Kindle Edition,431,2023,2022,,2023/04/08,,,read,,,,1,0
123001394,"Death Raiser (Lark Morgan, #2)",J.C. McKenzie,"McKenzie, J.C.",,"=""199014327X""","=""9781990143274""",0,4.34,,Kindle Edition,240,2023,,2023/06/27,2023/04/17,,,read,,,,1,0
128123545,Death's Obsession,Avina St. Graves,"Graves, Avina St.",,"=""""","=""""",0,3.52,,ebook,178,2023,2023,,2023/06/27,to-read,to-read (#23),to-read,,,,0,0
60425262,"Psycho Shifters (Cruel Shifterverse, #1)",Jasmine Mas,"Mas, Jasmine",,"=""""","=""""",0,3.78,Jasmine Mas,ebook,313,2022,2022,,2023/06/24,to-read,to-read (#22),to-read,,,,0,0
49826643,"Daughter of No Worlds (The War of Lost Hearts, #1)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",5,4.03,,Kindle Edition,520,2020,2020,,2023/01/15,,,read,,,,1,0
58303345,"Mother of Death & Dawn (The War of Lost Hearts, #3)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.37,,Kindle Edition,722,2022,2022,,2023/05/15,to-read,to-read (#21),to-read,,,,0,0
52617662,"Children of Fallen Gods (The War of Lost Hearts, #2)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.16,,Kindle Edition,636,2021,2021,,2023/05/15,to-read,to-read (#20),to-read,,,,0,0
60636816,The Warrior Midwife (The Warrior Midwife #1),E.P. Bali,"Bali, E.P.",,"=""0645293989""","=""9780645293982""",0,4.01,Blue Moon Rising Publishing,Kindle Edition,335,2022,2022,,2023/05/09,to-read,to-read (#19),to-read,,,,0,0
41838393,"The Lord of Stariel (Stariel, #1)",A.J. Lancaster,"Lancaster, A.J.",,"=""0473451255""","=""9780473451257""",0,3.94,Camberion Press,Kindle Edition,322,2018,2018,,2023/02/07,,,read,,,,1,0
49557273,"Conspiracy of Ravens (Raven Crawford, #1)",J.C. McKenzie,"McKenzie, J.C.",,"=""1999239415""","=""9781999239411""",0,3.87,J. C. McKenzie,Kindle Edition,411,2019,2019,,2023/04/17,to-read,to-read (#18),to-read,,,,0,0
59228452,Rituals & Runes,Gina Kincade,"Kincade, Gina","C.D. Gorri, Bella Roccaforte, C.A. King, Elvira Bathory, Rebekah R. Ganiere, Piper Stone, Patricia D. Eddy, J.C. McKenzie, J.E. Taylor, Terri A. Wilson, Ariel  Dawn, Serenity Rayne, Cara North, Cara Wylde, Calla Zae, A.L. Kessler, Mia Bishop, Solo Storm, Scarlett West, Madison Granger, Roxy Matthews, N.D.T. Casale, Melissa  MacKinnon, Elizabeth     Jones, Jude Cocaigne, Brianna Ganiere, Melissa  Bell, J. Thiele, Andie M. Long, Silvana G. Sánchez, Bethany Shaw","=""""","=""""",0,4.46,Naughty Nights Press LLC,Kindle Edition,2851,2022,2022,,2023/04/17,to-read,to-read (#17),to-read,,,,0,0
63071233,"Death Stealer (Lark Morgan, #0.5)",J.C. McKenzie,"McKenzie, J.C.",,"=""199014330X""","=""9781990143304""",0,4.19,JCM Publications,Kindle Edition,53,2022,,,2023/04/17,to-read,to-read (#16),to-read,,,,0,0
